year,zip_code,population,population_male,population_female,population_age_below_24,population_age_between_25_44,population_age_above_45,crimes_count,victims_count,victims_count_male,victims_count_female,victims_count_age_below_24,victims_count_age_between_25_44,victims_count_age_above_45,victims_count_white,victims_count_black,victims_count_hispanic,victims_count_other_races,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races,population_white,population_black,population_hispanic,population_other_races,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count
2010,90028,,,,,,,4047.0,3310.0,2373.0,1458.0,1713.0,1694.0,640.0,1735.0,493.0,781.0,822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90029,,,,,,,1750.0,1459.0,866.0,690.0,619.0,715.0,416.0,409.0,99.0,806.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90031,,,,,,,1432.0,1099.0,635.0,593.0,626.0,458.0,348.0,200.0,37.0,861.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90032,,,,,,,1471.0,1093.0,600.0,613.0,661.0,506.0,304.0,166.0,40.0,903.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90033,,,,,,,2294.0,1794.0,1021.0,984.0,1072.0,801.0,421.0,209.0,65.0,1622.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90034,,,,,,,2134.0,1779.0,948.0,902.0,703.0,877.0,554.0,795.0,289.0,422.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90035,,,,,,,1292.0,1138.0,632.0,563.0,315.0,544.0,433.0,619.0,171.0,158.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90036,,,,,,,1903.0,1618.0,915.0,763.0,606.0,872.0,425.0,847.0,220.0,255.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90037,,,,,,,4317.0,3621.0,1720.0,2072.0,1870.0,1538.0,909.0,173.0,1485.0,1966.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90038,,,,,,,1618.0,1334.0,897.0,585.0,626.0,690.0,302.0,532.0,147.0,570.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90039,,,,,,,1233.0,991.0,647.0,457.0,398.0,519.0,316.0,469.0,33.0,397.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90041,,,,,,,1157.0,870.0,565.0,444.0,481.0,363.0,313.0,387.0,28.0,390.0,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90042,,,,,,,2338.0,1949.0,1014.0,1093.0,901.0,881.0,556.0,422.0,92.0,1385.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90043,,,,,,,2672.0,2408.0,1092.0,1365.0,906.0,947.0,819.0,78.0,1792.0,497.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90044,,,,,,,4368.0,3795.0,1671.0,2219.0,1645.0,1680.0,1043.0,105.0,2065.0,1606.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90045,,,,,,,3071.0,2452.0,1494.0,1173.0,1036.0,1130.0,905.0,1264.0,539.0,373.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90046,,,,,,,1340.0,1132.0,682.0,528.0,381.0,675.0,284.0,789.0,89.0,124.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90047,,,,,,,2988.0,2648.0,1204.0,1515.0,1036.0,1125.0,827.0,72.0,1891.0,642.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90048,,,,,,,1164.0,1018.0,531.0,520.0,311.0,546.0,307.0,580.0,102.0,161.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90049,,,,,,,984.0,890.0,453.0,463.0,206.0,384.0,394.0,663.0,36.0,62.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90056,,,,,,,21.0,20.0,14.0,6.0,3.0,6.0,12.0,5.0,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90057,,,,,,,2499.0,2155.0,1250.0,1055.0,943.0,1017.0,539.0,240.0,261.0,1465.0,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90058,,,,,,,297.0,208.0,115.0,121.0,139.0,98.0,60.0,9.0,46.0,168.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90059,,,,,,,2108.0,1887.0,718.0,1218.0,785.0,873.0,450.0,48.0,1027.0,814.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90061,,,,,,,1711.0,1460.0,696.0,835.0,725.0,616.0,370.0,59.0,819.0,564.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90062,,,,,,,2319.0,2047.0,937.0,1173.0,890.0,837.0,592.0,57.0,1196.0,768.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,90063,,,,,,,401.0,308.0,143.0,189.0,189.0,122.0,90.0,19.0,2.0,303.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
