quarter,zip_code,tract
2010_03,90016,06037218210
2010_03,90016,06037218220
2010_03,90016,06037218300
2010_03,90016,06037218400
2010_03,90016,06037218500
2010_03,90016,06037218600
2010_03,90016,06037218700
2010_03,90016,06037219300
2010_03,90016,06037219500
2010_03,90016,06037219700
2010_03,90016,06037219800
2010_03,90016,06037219900
2010_03,90016,06037220000
2010_03,90016,06037220100
2010_03,90016,06037234200
2010_03,90016,06037236000
2010_03,90016,06037236100
2010_03,90016,06037236201
2010_03,90016,06037236202
2010_03,90016,06037270300
2010_03,90017,06037207710
2010_03,90017,06037207900
2010_03,90017,06037208300
2010_03,90017,06037208400
2010_03,90017,06037208902
2010_03,90017,06037208904
2010_03,90017,06037209101
2010_03,90017,06037209102
2010_03,90017,06037209200
2010_03,90017,06037209300
2010_03,90017,06037209403
2010_03,90018,06037218110
2010_03,90018,06037218120
2010_03,90018,06037218700
2010_03,90018,06037218800
2010_03,90018,06037218900
2010_03,90018,06037219010
2010_03,90018,06037219020
2010_03,90018,06037219300
2010_03,90018,06037219500
2010_03,90018,06037221210
2010_03,90018,06037221302
2010_03,90018,06037221400
2010_03,90018,06037221500
2010_03,90018,06037222000
2010_03,90018,06037222100
2010_03,90018,06037222200
2010_03,90018,06037222500
2010_03,90018,06037231300
2010_03,90018,06037231400
2010_03,90018,06037234000
2010_03,90018,06037234200
2010_03,90019,06037212620
2010_03,90019,06037212700
2010_03,90019,06037212800
2010_03,90019,06037212900
2010_03,90019,06037213100
2010_03,90019,06037216100
2010_03,90019,06037216200
2010_03,90019,06037216300
2010_03,90019,06037216700
2010_03,90019,06037216800
2010_03,90019,06037216900
2010_03,90019,06037217100
2010_03,90019,06037217200
2010_03,90019,06037218110
2010_03,90019,06037218120
2010_03,90019,06037218210
2010_03,90019,06037218220
2010_03,90019,06037218300
2010_03,90019,06037218600
2010_03,90019,06037218800
2010_03,90019,06037221301
2010_03,90019,06037221302
2010_03,90019,06037270300
2010_03,90020,06037208710
2010_03,90020,06037211000
2010_03,90020,06037211110
2010_03,90020,06037211120
2010_03,90020,06037211310
2010_03,90020,06037211320
2010_03,90020,06037211410
2010_03,90020,06037211420
2010_03,90020,06037211500
2010_03,90020,06037211701
2010_03,90020,06037211702
2010_03,90020,06037211801
2010_03,90020,06037211802
2010_03,90020,06037211910
2010_03,90020,06037211920
2010_03,90020,06037212100
2010_03,90020,06037214100
2010_03,90021,06037206050
2010_03,90021,06037206300
2010_03,90021,06037226000
2010_03,90023,06037203900
2010_03,90023,06037204120
2010_03,90023,06037204300
2010_03,90023,06037204600
2010_03,90023,06037204700
2010_03,90023,06037204810
2010_03,90023,06037204820
2010_03,90023,06037204910
2010_03,90023,06037204920
2010_03,90023,06037205110
2010_03,90023,06037205120
2010_03,90023,06037206050
2010_03,90023,06037531201
2010_03,90023,06037531202
2010_03,90023,06037531301
2010_03,90023,06037531302
2010_03,90023,06037531501
2010_03,90023,06037532302
2010_03,90024,06037265100
2010_03,90024,06037265200
2010_03,90024,06037265301
2010_03,90024,06037265303
2010_03,90024,06037265304
2010_03,90024,06037265305
2010_03,90024,06037265420
2010_03,90024,06037265510
2010_03,90024,06037265520
2010_03,90024,06037265600
2010_03,90024,06037265700
2010_03,90024,06037701100
2010_03,90025,06037264301
2010_03,90025,06037264302
2010_03,90025,06037265520
2010_03,90025,06037265600
2010_03,90025,06037265700
2010_03,90025,06037267100
2010_03,90025,06037267200
2010_03,90025,06037267300
2010_03,90025,06037267401
2010_03,90025,06037267402
2010_03,90025,06037267501
2010_03,90025,06037267502
2010_03,90025,06037267600
2010_03,90025,06037267700
2010_03,90025,06037267900
2010_03,90025,06037701100
2010_03,90025,06037701601
2010_03,90025,06037701602
2010_03,90026,06037187300
2010_03,90026,06037195400
2010_03,90026,06037195500
2010_03,90026,06037195600
2010_03,90026,06037195710
2010_03,90026,06037195720
2010_03,90026,06037195801
2010_03,90026,06037195802
2010_03,90026,06037195900
2010_03,90026,06037197200
2010_03,90026,06037197300
2010_03,90026,06037197410
2010_03,90026,06037197420
2010_03,90026,06037197500
2010_03,90026,06037197600
2010_03,90026,06037197700
2010_03,90026,06037208000
2010_03,90026,06037208300
2010_03,90026,06037208400
2010_03,90026,06037208500
2010_03,90026,06037208610
2010_03,90026,06037208620
2010_03,90026,06037211110
2010_03,90027,06037188200
2010_03,90027,06037189100
2010_03,90027,06037189200
2010_03,90027,06037189300
2010_03,90027,06037190301
2010_03,90027,06037190400
2010_03,90027,06037190510
2010_03,90027,06037190520
2010_03,90027,06037190901
2010_03,90027,06037191110
2010_03,90027,06037191201
2010_03,90027,06037191300
2010_03,90027,06037195100
2010_03,90027,06037195200
2010_03,90027,06037195300
2010_03,90028,06037189300
2010_03,90028,06037189500
2010_03,90028,06037189600
2010_03,90028,06037189702
2010_03,90028,06037189901
2010_03,90028,06037189902
2010_03,90028,06037190100
2010_03,90028,06037190200
2010_03,90028,06037190301
2010_03,90028,06037190510
2010_03,90028,06037190700
2010_03,90028,06037190800
2010_03,90028,06037190901
2010_03,90028,06037190902
2010_03,90028,06037191000
2010_03,90028,06037191900
2010_03,90028,06037194100
2010_03,90029,06037190901
2010_03,90029,06037191110
2010_03,90029,06037191120
2010_03,90029,06037191201
2010_03,90029,06037191203
2010_03,90029,06037191204
2010_03,90029,06037191300
2010_03,90029,06037191410
2010_03,90029,06037191420
2010_03,90029,06037191500
2010_03,90029,06037191610
2010_03,90029,06037191620
2010_03,90029,06037191710
2010_03,90029,06037191720
2010_03,90029,06037192510
2010_03,90029,06037192520
2010_03,90029,06037192610
2010_03,90029,06037192700
2010_03,90029,06037195200
2010_03,90029,06037195300
2010_03,90029,06037195400
2010_03,90029,06037195900
2010_03,90031,06037185100
2010_03,90031,06037187200
2010_03,90031,06037187300
2010_03,90031,06037197200
2010_03,90031,06037199000
2010_03,90031,06037199110
2010_03,90031,06037199120
2010_03,90031,06037199201
2010_03,90031,06037199202
2010_03,90031,06037199300
2010_03,90031,06037199400
2010_03,90031,06037199700
2010_03,90031,06037199800
2010_03,90031,06037199900
2010_03,90032,06037199110
2010_03,90032,06037199120
2010_03,90032,06037199202
2010_03,90032,06037199300
2010_03,90032,06037201110
2010_03,90032,06037201120
2010_03,90032,06037201200
2010_03,90032,06037201301
2010_03,90032,06037201302
2010_03,90032,06037201401
2010_03,90032,06037201402
2010_03,90032,06037201501
2010_03,90032,06037201503
2010_03,90032,06037201504
2010_03,90032,06037201600
2010_03,90032,06037201700
2010_03,90032,06037480802
2010_03,90032,06037480803
2010_03,90032,06037530700
2010_03,90033,06037199900
2010_03,90033,06037203100
2010_03,90033,06037203200
2010_03,90033,06037203300
2010_03,90033,06037203500
2010_03,90033,06037203600
2010_03,90033,06037203710
2010_03,90033,06037203720
2010_03,90033,06037203800
2010_03,90033,06037204110
2010_03,90033,06037204200
2010_03,90033,06037204300
2010_03,90033,06037204410
2010_03,90033,06037204420
2010_03,90033,06037204600
2010_03,90033,06037206020
2010_03,90033,06037206030
2010_03,90033,06037206040
2010_03,90033,06037206050
2010_03,90034,06037269000
2010_03,90034,06037269300
2010_03,90034,06037269500
2010_03,90034,06037269600
2010_03,90034,06037269700
2010_03,90034,06037269800
2010_03,90034,06037269901
2010_03,90034,06037269902
2010_03,90034,06037270100
2010_03,90034,06037270200
2010_03,90034,06037270300
2010_03,90034,06037271701
2010_03,90034,06037271702
2010_03,90034,06037271801
2010_03,90034,06037271802
2010_03,90034,06037702400
2010_03,90035,06037216400
2010_03,90035,06037216700
2010_03,90035,06037216800
2010_03,90035,06037217000
2010_03,90035,06037269000
2010_03,90035,06037269100
2010_03,90035,06037269500
2010_03,90035,06037269600
2010_03,90035,06037270300
2010_03,90035,06037700901
2010_03,90036,06037191900
2010_03,90036,06037192000
2010_03,90036,06037194400
2010_03,90036,06037211000
2010_03,90036,06037214000
2010_03,90036,06037214100
2010_03,90036,06037214400
2010_03,90036,06037214500
2010_03,90036,06037214600
2010_03,90036,06037214700
2010_03,90036,06037215100
2010_03,90036,06037216100
2010_03,90036,06037216200
2010_03,90036,06037216300
2010_03,90036,06037216900
2010_03,90037,06037228410
2010_03,90037,06037228420
2010_03,90037,06037228500
2010_03,90037,06037229300
2010_03,90037,06037229410
2010_03,90037,06037231100
