tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,2,1,0,4
101122,1,1,1,0,7
101210,0,2,1,0,9
101220,0,0,0,0, -   
101300,3,2,4,0,19
101400,3,0,6,7,51
102103,0,0,0,0,2
102104,0,0,2,0,5
102105,2,0,9,2,19
102107,4,0,7,2,28
103101,0,0,0,5,25
103102,0,0,1,2,12
103200,4,6,10,9,78
103300,0,0,0,0, -   
103400,3,0,0,1,13
104103,2,1,2,0,7
104105,0,1,2,0,4
104108,1,1,0,0,14
104124,0,0,0,0,10
104201,0,0,30,7,96
104203,1,0,1,0,3
104204,1,2,1,0,11
104310,1,3,33,0,75
104320,0,0,4,0,61
104401,0,0,0,0,6
104403,4,0,1,5,39
104404,3,0,6,0,13
104500,0,0,0,2,6
104610,0,1,0,0,1
104620,3,1,11,0,25
104701,8,2,10,0,29
104703,4,2,60,0,103
104704,0,2,19,0,34
104810,0,4,6,0,15
104821,0,1,0,0,9
104822,0,2,0,2,23
106010,4,0,6,0,16
106020,1,0,3,0,9
106111,0,0,0,0,1
106112,2,2,13,0,86
106113,0,0,6,0,17
106114,0,3,4,2,35
106403,0,2,0,0,6
106405,0,2,4,0,9
106406,6,0,7,0,19
106407,0,0,0,0,1
106408,0,0,0,0,8
106510,7,4,39,5,88
106520,1,0,6,0,10
106603,0,0,0,0, -   
106604,3,2,14,4,108
106641,0,0,0,0, -   
106642,3,0,0,0,4
106643,0,0,0,0, -   
106645,0,0,0,0, -   
106646,2,0,2,0,9
106648,0,0,1,0,4
106649,0,0,0,0,3
107010,0,0,2,0,4
107020,0,4,4,0,23
108101,0,0,1,0,1
108102,2,0,0,0,5
108103,0,0,0,0, -   
108104,0,0,1,0,1
108201,0,1,1,1,7
108202,0,0,0,0, -   
109100,8,7,5,17,70
109200,0,0,6,0,9
109300,3,0,5,0,13
109400,1,7,5,0,19
109500,1,2,12,0,36
109601,2,3,11,1,35
109603,0,0,1,0,5
109604,3,0,0,2,10
109700,0,0,3,0,6
109800,0,0,1,1,3
111100,0,0,0,0, -   
111201,0,2,0,2,5
111202,0,0,0,0, -   
111204,0,0,1,0,2
111205,0,0,0,0, -   
111206,0,0,0,0, -   
111301,0,0,1,0,3
111302,0,0,0,4,7
111400,8,2,4,13,50
113101,0,1,1,0,7
113102,0,0,0,0, -   
113211,0,2,9,0,16
113212,0,0,0,0,35
113213,4,0,2,4,19
113231,0,0,0,0, -   
113232,0,0,2,0,7
113233,1,1,5,2,21
113234,10,2,7,0,30
113235,0,0,0,0, -   
113237,18,6,40,29,272
113301,0,0,3,0,10
113303,9,1,35,9,105
113321,7,8,21,22,147
113322,0,2,0,0,3
113401,0,0,0,0,8
113421,0,4,24,8,69
113422,0,0,0,1,4
115101,1,1,0,0,6
