tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
128602,0,1,3,0,8
128702,0,0,1,0,2
128801,0,0,1,1,7
128802,0,0,0,1,2
128910,0,0,0,0,0
131010,0,0,0,0,0
131020,0,1,4,0,9
131100,0,1,0,0,3
131200,0,2,0,0,6
131300,2,2,4,0,22
131400,2,0,1,0,5
131600,0,0,2,0,7
131701,0,0,1,0,2
131702,1,0,2,0,5
131800,1,0,2,0,6
131900,0,0,2,0,4
132001,1,1,1,0,9
132002,0,0,0,0,1
132101,0,0,0,0,2
132102,0,0,1,0,3
132300,1,0,4,1,26
132501,0,1,1,0,3
132502,0,3,2,0,14
132700,1,1,0,0,17
132900,0,0,3,0,9
133000,0,0,0,0,7
133100,1,0,4,0,14
134001,2,0,1,0,9
134002,0,0,1,0,2
134101,0,0,0,0,0
134103,0,0,0,0,2
134104,0,0,0,0,2
134201,0,1,5,0,11
134302,0,0,0,0,0
134303,2,1,4,0,14
134304,0,0,0,0,1
134305,0,0,1,0,10
134306,5,0,1,2,23
134421,0,0,1,0,2
134422,0,0,7,0,13
134423,0,0,0,0,0
134424,0,0,0,0,0
134520,2,0,21,2,49
134521,0,3,2,0,13
134522,0,0,2,0,8
134710,1,0,7,0,18
134720,0,0,4,0,7
134800,0,0,3,0,14
134901,0,0,1,0,4
134903,4,1,2,0,22
134904,6,1,3,0,20
134905,1,3,0,0,13
135102,2,1,0,2,18
135111,0,0,0,0,1
135113,0,0,0,0,0
135114,1,0,8,0,17
135201,2,1,5,0,33
135202,0,0,19,0,40
135203,0,0,1,0,2
137000,0,0,1,0,2
137103,7,1,0,0,16
137104,0,0,0,0,4
137201,2,2,3,0,13
137301,0,0,0,0,1
137302,0,0,3,0,5
137401,2,0,0,0,5
137402,0,0,0,0,0
137501,0,0,0,0,2
137502,1,0,1,0,5
137504,0,0,0,0,0
138000,0,0,0,0,0
139001,0,0,0,0,0
139200,0,0,0,0,0
139301,0,0,0,0,1
139302,0,0,0,0,3
139303,0,2,1,0,13
139401,0,0,2,0,10
139402,1,0,0,0,5
139502,2,0,1,0,15
139503,0,0,0,0,0
139504,0,1,2,0,7
139600,0,0,0,0,3
139701,0,0,0,0,1
139702,1,0,0,0,2
139703,3,0,0,0,5
139801,0,0,0,0,0
139802,0,0,0,0,0
141101,0,0,0,0,2
141102,0,0,0,0,4
141201,2,1,8,0,24
141202,0,0,0,0,1
141302,1,0,0,0,4
141303,1,0,1,0,5
141304,0,0,0,0,2
141400,0,0,0,0,0
141500,1,0,0,0,2
141600,0,0,0,0,0
141700,0,0,0,0,0
143100,0,0,0,0,4
143200,1,0,1,1,8
143300,0,0,2,0,6
143400,0,0,0,0,4
143500,0,0,0,0,0
143602,0,0,0,0,1
143603,0,1,0,0,2
143604,1,0,0,4,12
143700,0,0,0,0,11
143800,0,0,0,0,5
143901,0,0,0,0,0
143902,0,0,0,0,1
181000,1,1,1,18,54
181300,1,0,4,10,28
181400,0,5,3,1,27
181500,1,6,14,0,41
181600,0,0,3,0,9
183101,0,0,0,0,8
183103,0,2,1,1,48
183104,0,0,0,0,0
183220,3,3,2,0,15
183221,0,0,0,0,0
183222,2,1,3,0,14
183300,0,0,4,0,7
183401,2,0,1,0,11
183402,0,3,6,0,16
183510,2,5,5,0,28
183520,1,2,2,0,21
183610,4,3,6,5,60
183620,0,4,3,3,32
183701,4,7,8,2,80
183702,0,0,2,1,8
183810,3,5,0,0,16
183820,3,17,4,1,45
185100,8,11,6,1,60
185202,0,0,6,0,25
185203,1,0,10,0,21
185204,0,0,0,0,0
185310,0,0,1,0,2
185320,2,2,3,2,30
186100,1,0,4,0,11
186201,0,0,0,0,9
186202,1,0,0,0,9
186203,0,0,0,0,0
186301,0,0,0,0,0
186302,0,1,2,0,7
186401,8,5,5,0,31
186403,3,4,11,0,33
186404,1,0,11,0,24
187101,1,5,1,0,19
187102,0,0,0,2,24
187200,2,1,4,1,30
187300,0,1,0,1,5
188100,6,4,15,1,57
188201,1,0,1,0,14
188202,1,0,0,0,8
188300,2,1,0,0,11
189101,1,0,0,1,10
189102,0,0,1,0,2
189201,0,0,4,0,20
189202,0,0,0,0,0
189300,0,1,1,0,5
189400,0,0,0,0,0
189500,1,1,1,8,26
189600,0,0,0,10,27
189701,0,0,1,0,4
189702,0,0,0,1,12
189800,2,0,0,1,20
189902,1,3,2,2,23
189903,0,0,0,0,3
189904,0,0,1,0,7
189905,0,0,0,2,10
190100,2,1,5,1,49
190201,4,0,0,0,22
190202,0,0,0,0,20
190301,0,0,0,0,25
190401,0,0,0,0,3
190402,0,0,0,0,3
190510,0,1,1,1,22
190520,0,0,0,0,2
190700,0,0,2,0,114
190801,2,3,7,8,63
190802,4,4,9,16,83
190901,4,0,1,4,108
190902,9,3,0,5,33
191000,0,2,4,25,157
191110,2,1,4,1,31
191120,1,5,1,0,24
191201,0,0,0,5,26
191203,1,0,0,1,8
191204,2,1,0,0,7
191301,0,0,0,0,14
191302,9,1,0,0,56
191410,0,0,0,9,27
191420,0,0,0,0,10
191500,1,1,2,0,18
191610,2,4,1,0,19
191620,0,5,0,4,19
191710,0,0,2,0,6
191720,1,0,1,0,16
191810,8,1,3,13,57
191820,8,5,3,12,66
191901,6,8,4,4,62
191902,1,1,5,0,31
192001,0,0,1,4,17
192002,0,1,1,0,12
192300,0,0,0,0,3
192410,0,0,0,0,1
