tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,0,0,0,1
101122,0,0,0,0,0
101210,0,0,1,0,5
101220,0,0,0,0,34
101300,0,0,0,3,20
101400,0,2,4,0,12
102103,0,1,3,0,8
102104,0,0,0,0,0
102105,1,0,3,0,10
102107,0,2,0,0,5
103101,1,0,2,0,7
103102,0,0,5,0,12
103200,5,0,3,1,55
103300,0,1,2,0,15
103400,0,1,3,0,18
104103,0,0,0,0,33
104105,1,0,2,0,15
104108,0,0,2,0,6
104124,0,0,0,0,0
104201,2,0,4,1,24
104203,1,0,0,0,2
104204,0,0,6,0,17
104310,1,0,2,0,6
104320,1,0,0,0,3
104401,0,0,0,0,2
104403,0,3,2,0,20
104404,2,3,2,0,14
104500,0,0,0,0,23
104610,0,0,1,0,3
104620,5,4,1,0,19
104701,0,1,0,0,2
104703,6,3,17,3,62
104704,0,0,0,0,9
104810,0,0,0,0,0
104821,0,0,0,0,3
104822,1,3,1,0,26
106010,0,0,0,0,0
106020,4,1,16,1,43
106111,0,0,1,0,2
106112,1,0,2,0,183
106113,0,0,14,0,50
106114,0,2,6,0,22
106403,0,0,0,0,4
106405,0,0,1,0,3
106406,0,0,4,0,9
106407,0,0,0,0,0
106408,0,0,0,0,2
106510,0,1,5,0,12
106520,11,1,6,4,44
106603,0,0,0,0,0
106604,3,2,3,0,15
106641,0,0,0,0,0
106642,0,0,2,0,4
106643,0,0,1,0,2
106645,0,0,0,0,0
106646,0,0,0,1,3
106648,0,0,0,0,0
106649,0,0,0,0,0
107010,1,0,0,0,4
107020,1,0,0,0,2
108101,0,0,0,0,0
108102,0,0,0,0,0
108103,0,0,0,0,0
108104,0,0,0,0,0
108201,1,0,1,0,5
108202,0,0,0,0,0
109100,2,0,0,0,35
109200,0,0,0,0,0
109300,7,2,8,0,55
109400,2,0,2,4,25
109500,2,0,21,6,81
109601,0,0,1,0,4
109603,10,7,7,0,50
109604,2,0,0,2,34
109700,2,0,1,0,13
109800,1,1,0,1,5
111100,0,0,0,0,0
111201,0,0,0,1,2
111202,2,0,0,0,4
111204,1,0,0,0,3
111205,1,0,0,0,2
111206,0,0,0,0,0
111301,0,1,1,1,11
111302,0,0,0,0,0
111400,0,0,0,0,2
113101,0,0,1,0,3
113102,0,0,7,0,15
113211,0,0,0,0,0
113212,0,0,0,0,0
113213,2,1,4,0,13
113231,2,0,4,0,12
113232,0,0,3,0,6
113233,0,0,0,0,5
113234,0,1,3,0,8
113235,0,0,0,0,0
113237,2,2,15,5,47
113301,3,1,3,0,15
113303,2,3,20,0,62
113321,1,0,6,0,14
113322,0,1,4,0,10
113401,0,0,2,0,9
113421,1,0,16,0,35
