tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
930000,2,0,0,0,16
920335,0,0,0,0,0
920334,0,0,0,0,0
920332,0,0,1,0,0
920331,0,0,0,0,0
920330,0,0,0,0,0
920329,0,0,0,0,0
920328,1,0,1,0,1
920327,0,0,2,0,0
920322,0,0,0,0,0
920314,3,0,0,0,2
920313,1,0,10,0,13
920312,0,2,1,0,3
920113,2,1,2,0,1
920112,0,0,1,0,0
920111,0,0,0,0,0
920110,0,0,0,0,0
920109,1,0,0,0,0
920108,0,0,0,0,0
920107,4,4,7,0,1
920106,0,0,1,0,2
920043,0,0,0,1,0
920042,0,2,0,0,0
920041,0,0,1,0,0
920040,0,0,0,0,0
920039,0,0,0,0,1
920038,0,1,0,0,0
920037,0,0,0,0,1
920036,0,0,1,0,0
920035,0,0,1,0,0
920034,2,1,5,1,4
920033,0,1,0,0,0
920031,10,1,8,0,0
920030,0,0,0,0,0
920029,0,0,0,0,0
920028,0,0,0,0,1
920023,5,9,3,0,1
920020,0,1,1,0,1
920019,0,0,1,0,0
920018,0,0,0,0,0
920017,0,0,1,0,0
920016,0,1,0,0,0
920015,1,0,0,0,0
920014,0,0,0,0,0
920013,0,0,0,0,1
911000,0,1,2,0,1
910902,0,0,2,0,3
910901,9,5,12,5,0
910809,0,0,1,0,0
910807,0,0,0,0,1
910806,0,0,0,0,0
910804,0,0,0,0,0
910803,0,0,0,0,0
910710,0,0,0,0,1
910709,0,0,25,1,1
910708,0,0,0,0,0
910707,0,0,0,0,0
910706,1,0,2,0,4
910705,4,0,4,0,2
910704,0,0,2,0,0
910703,1,0,1,0,1
910604,0,0,0,0,1
910603,0,0,0,2,1
910602,0,0,2,0,7
910601,2,6,33,0,5
910503,0,0,0,0,0
910502,0,0,4,0,5
910501,0,0,1,0,5
910404,0,0,0,1,2
910403,0,1,0,0,17
910402,7,1,8,5,19
910401,0,0,0,0,1
910302,0,0,4,0,2
910301,0,0,0,0,0
910206,0,0,0,0,0
910205,0,0,0,0,0
910204,0,0,0,0,0
910203,0,0,0,0,2
910202,0,0,0,1,0
910201,0,0,2,0,1
910100,0,1,13,0,6
910000,8,1,44,4,5
901207,1,0,18,0,0
901206,0,0,0,0,0
901205,0,1,3,0,0
901204,0,0,0,0,0
