tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,0,0,0,6
101122,1,1,1,0,6
101210,1,0,4,0,19
101220,5,4,3,0,39
101300,2,0,9,1,33
101400,0,0,6,0,17
102103,2,3,1,1,20
102104,1,2,5,1,28
102105,0,0,1,1,10
102107,0,0,0,0,0
103101,0,0,1,7,23
103102,0,0,0,0,2
103200,0,0,2,0,65
103300,0,0,0,0,0
103400,0,0,6,0,17
104103,1,0,2,0,10
104105,0,0,0,0,5
104108,0,1,2,0,6
104124,2,0,6,0,31
104201,0,1,2,0,10
104203,0,0,4,0,8
104204,0,0,0,0,1
104310,0,0,2,0,5
104320,0,0,0,0,121
104401,0,0,1,0,6
104403,0,1,0,0,4
104404,0,2,2,0,7
104500,0,0,0,0,31
104610,1,0,2,0,6
104620,0,0,0,0,0
104701,2,9,7,0,46
104703,1,1,3,0,12
104704,1,0,4,0,13
104810,1,0,1,0,5
104821,0,0,0,0,38
104822,0,0,0,0,14
106010,0,0,3,0,8
106020,0,0,0,0,0
106111,0,0,0,0,0
106112,0,0,1,0,8
106113,0,0,0,0,25
106114,0,0,0,1,3
106403,0,0,1,0,11
106405,0,0,2,0,4
106406,1,0,1,0,4
106407,2,4,0,3,52
106408,2,0,1,0,10
106510,0,1,8,1,21
106520,6,0,0,0,11
106603,0,4,6,0,18
106604,0,0,4,0,13
106641,0,0,0,0,0
106642,0,0,0,0,0
106643,0,0,0,0,0
106645,0,0,0,0,0
106646,0,1,2,0,14
106648,0,0,0,0,0
106649,1,1,0,0,6
107010,1,0,5,0,33
107020,2,0,5,0,28
108101,0,0,0,0,0
108102,0,0,4,0,8
108103,0,0,0,0,0
108104,0,0,0,0,0
108201,0,0,0,0,0
108202,0,0,0,0,0
109100,0,2,2,0,19
109200,0,0,0,0,0
109300,0,0,1,0,2
109400,1,3,4,0,19
109500,0,0,0,0,0
109601,0,0,0,0,0
109603,1,0,1,1,13
109604,0,0,0,0,0
109700,0,0,0,0,0
109800,0,5,3,0,48
111100,0,0,0,0,1
111201,0,0,0,0,1
111202,0,4,6,0,34
111204,0,0,1,0,2
111205,0,0,1,0,5
111206,3,2,5,0,19
111301,6,0,8,0,34
111302,0,0,1,0,2
111400,0,0,0,0,1
113101,0,0,0,0,1
113102,4,1,1,0,10
113211,4,0,4,0,14
113212,0,0,1,0,2
113213,0,0,9,0,20
113231,0,0,0,0,0
113232,0,0,0,0,0
113233,0,1,12,0,27
113234,0,0,3,0,21
113235,0,0,0,0,0
113237,0,0,1,6,24
113301,3,0,5,0,15
113303,1,2,3,0,29
113321,2,0,10,0,22
113322,0,0,0,0,0
113401,1,0,4,0,13
113421,0,0,3,3,12
113422,0,0,5,0,18
115101,3,0,0,0,5
115103,0,0,0,0,0
115104,0,0,0,0,0
115201,0,0,0,0,0
115202,0,4,2,0,114
115301,0,0,0,0,0
115302,3,1,2,0,11
115401,0,0,0,0,0
115403,0,1,2,0,18
115404,0,1,3,0,8
117101,0,0,2,0,16
117102,0,0,0,0,0
117201,0,0,0,0,0
117202,0,0,0,0,3
117301,0,0,0,0,30
117302,0,0,0,0,0
117303,0,3,2,0,22
117404,0,1,3,0,41
117405,0,0,0,0,0
117407,0,0,0,0,0
117408,0,8,8,4,86
117510,4,0,1,1,37
117520,0,3,2,0,60
117530,0,0,0,0,0
119001,2,0,5,1,26
119002,0,0,0,0,0
119201,0,0,0,0,1
119202,0,1,3,0,26
119310,0,0,0,0,2
119320,0,0,0,0,0
119340,0,0,0,0,1
119341,1,0,5,0,15
119342,2,0,0,0,3
119400,0,0,0,1,4
119700,3,0,6,1,32
119800,0,1,2,0,8
119900,2,0,3,0,17
120010,0,1,1,0,9
120020,1,1,1,0,13
120030,0,0,0,0,10
120103,0,0,0,0,1
120104,0,0,2,0,23
120105,0,0,0,0,2
120106,0,0,0,0,0
120107,0,0,0,0,2
120108,1,0,0,1,8
120300,0,0,0,0,9
120400,0,0,0,0,0
121010,1,2,2,5,27
121020,1,1,2,0,9
121101,0,0,4,0,11
121102,1,0,18,1,40
121210,0,0,0,0,19
121221,2,0,6,1,18
121222,0,2,2,0,50
121600,0,0,2,1,6
121801,0,2,1,0,8
121802,5,0,3,0,16
121900,2,2,6,0,438
122000,2,0,7,0,17
122120,0,0,0,0,3
122121,0,0,1,0,5
122122,2,3,6,0,169
122200,1,0,8,0,21
122410,0,2,7,0,25
122420,0,0,0,0,1
123010,2,4,12,0,38
123020,0,0,0,0,0
123103,1,0,6,0,37
123104,0,0,1,0,3
123203,0,2,8,0,45
123204,0,0,0,0,3
123205,1,11,10,0,57
123206,0,2,4,0,23
123301,0,0,3,0,10
123303,0,0,0,0,0
123304,8,4,2,0,26
123410,0,2,2,1,12
123420,0,0,5,0,14
123510,0,0,1,0,5
123520,0,1,0,0,2
123601,0,0,8,0,16
123602,0,0,2,0,4
123700,1,0,0,0,6
123800,0,0,0,0,9
123901,7,0,10,1,78
123902,2,0,15,4,72
124000,0,1,0,0,2
124102,0,0,2,0,9
124103,6,15,18,5,90
124104,0,1,2,2,9
124105,1,1,1,0,7
124201,1,5,2,0,17
124203,0,1,1,0,4
124204,0,1,2,0,7
124300,1,3,8,0,24
124400,0,0,0,0,0
124500,0,0,0,0,0
124600,1,0,0,0,2
124700,0,0,0,0,3
124902,0,0,0,0,4
124903,0,1,2,0,22
125100,0,0,0,0,0
