tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,0,1,0,12.614
101122,0,0,0,0,1
101210,0,0,5,0,14.517
101220,2,2,7,1,24.058
101300,0,0,3,1,9.278
101400,1,3,1,1,17.615
102103,0,0,0,0,0
102104,1,0,0,0,1.425
102105,0,0,14,0,23.717
102107,1,0,3,0,6.508
103101,1,0,0,4,26.872
103102,2,1,10,0,26.368
103200,0,3,9,3,32.609
103300,0,0,1,1,5.413
103400,9,0,1,1,26.382
104103,1,0,4,0,8.202
104105,0,2,1,0,4.847
104108,1,0,0,0,1.425
104124,0,0,0,1,17.813
104201,0,0,3,0,6.082
104203,0,7,0,0,15.034
104204,2,6,5,2,26.17
104310,1,5,6,23,78.159
104320,0,0,2,0,126.39
104401,0,0,0,0,18.56
104403,2,1,0,0,14.474
104404,0,1,0,0,6.976
104500,3,0,3,0,12.882
104610,1,1,1,1,67.462
104620,1,1,1,1,6.891
104701,1,1,4,0,16.778
104703,11,2,43,0,91.676
104704,0,0,4,0,22.776
104810,0,8,3,0,17.693
104821,1,4,0,0,9.731
104822,2,1,2,1,19.058
106010,3,0,4,1,12.248
106020,5,8,2,5,40.104
106111,3,5,5,0,21.628
106112,2,0,3,0,15.98
106113,0,1,0,0,4.576
106114,1,0,0,0,12.519
106403,0,0,4,0,13.823
106405,0,0,0,0,2
106406,3,5,2,0,15.546
106407,0,0,0,0,5.047
106408,0,0,0,0,16.617
106510,14,2,13,1,50.326
106520,0,1,20,0,35.458
106603,0,0,0,0,0
106604,1,2,10,0,23.519
106641,0,0,0,0,0
106642,0,0,0,0,0
106643,0,0,0,0,0
106645,1,0,0,0,3.949
106646,1,0,0,0,1.425
106648,0,0,0,0,2
106649,0,0,0,0,5.047
107010,0,1,2,0,4.964
107020,0,1,2,0,4.964
108101,0,0,0,0,0
108102,0,0,0,0,0
108103,0,0,0,0,0
108104,0,0,0,0,138.72
108201,0,0,0,0,0
108202,0,0,0,0,0
109100,2,0,10,0,50.791
109200,2,1,4,0,11.203
109300,1,4,5,1,17.397
109400,0,0,1,0,8.694
109500,0,0,1,0,1.694
109601,0,0,14,0,31.811
109603,0,0,13,0,22.023
109604,0,0,2,0,5.388
109700,0,0,2,0,4.388
109800,0,0,0,0,0
111100,0,0,0,0,0
111201,1,0,1,0,4.119
111202,0,0,2,0,4.912
111204,0,0,0,0,0
111205,1,1,1,0,6.696
111206,0,0,2,0,3.388
111301,1,0,3,0,7.508
111302,0,0,0,0,3
111400,0,1,0,1,12.295
113101,0,0,0,0,0
113102,0,1,0,0,4.576
113211,1,0,0,0,1.425
113212,0,0,2,0,4.388
113213,0,1,2,0,8.964
113231,0,0,1,0,1.694
113232,1,2,3,0,9.66
113233,2,1,22,0,67.22
113234,1,0,9,0,16.672
113235,0,0,0,0,0
113237,1,1,11,0,28.683
113301,0,2,2,6,13.715
113303,2,0,10,0,24.315
113321,0,0,0,0,2
113322,0,0,0,0,0
113401,5,2,4,1,23.775
113421,2,0,22,1,42.316
113422,0,0,2,1,8.504
115101,0,0,0,0,2.523
115103,0,3,1,0,6.423
115104,0,1,0,0,1.576
115201,0,0,1,0,1.694
115202,1,0,5,0,9.896
115301,0,1,3,0,8.659
115302,0,0,0,0,2
115401,0,0,0,0,0
115403,0,0,2,0,4.912
115404,2,1,5,0,12.897
117101,0,0,0,0,0
117102,0,0,3,0,5.082
117201,0,0,1,1,11.507
117202,2,0,1,1,11.311
117301,0,0,0,0,0
117302,0,0,0,0,0
117303,0,0,2,1,5.584
117404,7,2,5,1,22.796
117405,0,0,0,0,0
117407,1,2,0,1,5.774
117408,0,1,0,0,3.576
117510,0,0,0,0,0
117520,0,0,0,8,56.182
117530,1,2,0,0,17.625
119001,0,0,2,0,22.505
119002,0,1,1,3,12.951
119201,0,4,1,0,12.523
119202,1,0,4,0,16.296
119310,0,0,2,0,3.388
119320,0,0,0,0,1
119340,0,0,0,0,0
119341,0,0,0,0,0
119342,0,0,0,0,0
