tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
900101,2,2,21,1,18
900102,0,0,1,0,14
900200,1,0,8,2,16
900300,0,0,0,0,0
900501,0,0,0,0,13
900502,0,0,8,0,0
900503,0,0,0,0,0
900504,0,0,1,0,0
900602,0,0,2,0,2
900604,0,0,0,0,2
900605,0,1,0,0,4
900606,0,0,0,0,0
900607,0,0,0,0,7
900701,0,0,6,0,0
900703,0,0,5,1,0
900704,1,0,0,4,6
900705,0,0,0,0,0
900803,0,0,0,0,0
900804,0,0,1,0,0
900805,0,0,0,0,15
900806,0,0,0,0,17
900900,30,1,75,1,0
901004,0,0,0,0,1
901006,0,0,0,1,0
901007,0,0,0,0,3
901102,0,0,7,0,1
901203,0,0,2,0,0
901204,0,0,0,0,0
901205,0,0,8,0,0
901206,0,0,0,0,0
901207,0,0,1,0,0
910000,10,3,53,0,16
910100,2,0,5,0,10
910202,0,0,0,0,0
910203,0,0,0,0,0
910205,0,0,0,0,0
910206,0,0,0,0,0
910301,0,0,0,0,6
910302,0,0,5,0,0
910401,1,1,1,0,2
910402,1,0,1,0,4
910403,0,1,0,0,6
910404,0,0,2,0,2
910501,0,0,0,0,2
910502,0,0,0,0,0
910503,0,0,0,0,0
910602,1,0,0,0,2
910603,1,0,1,0,0
910604,1,0,3,0,0
910703,0,0,0,0,0
910704,0,0,0,0,0
910705,0,0,0,0,0
910706,0,0,0,0,0
910707,0,0,0,0,5
910708,0,0,0,0,0
910709,0,0,0,0,0
910710,1,0,0,0,6
910803,0,0,1,0,0
910804,0,0,0,0,0
910805,0,0,0,0,0
910806,0,0,0,0,0
910901,0,0,0,0,5
910902,0,1,9,1,8
104310,6,1,6,0,5
104620,0,0,0,0,5
106113,0,0,0,0,0
106603,0,0,0,0,0
106604,2,1,0,0,1
107020,0,1,1,0,1
108104,0,0,0,0,0
109100,1,0,0,0,7
109601,0,0,0,0,1
113232,0,0,0,0,0
113233,1,1,11,0,2
113234,1,2,5,0,9
113401,1,0,0,0,3
113422,0,0,0,0,0
117406,0,4,2,0,1
119200,0,1,5,0,6
120020,0,2,2,0,2
120030,1,0,1,0,1
120101,0,0,2,0,12
120102,0,0,0,0,2
121010,0,0,0,0,0
123204,3,5,1,0,1
123304,0,0,0,3,0
123420,0,1,0,0,4
123900,1,0,0,0,0
125500,0,0,0,0,0
127102,1,0,0,0,1
127220,0,1,0,0,11
127801,1,0,0,0,6
127802,1,0,0,0,8
128303,0,3,3,0,7
128800,0,0,0,0,0
128910,1,0,0,0,2
131700,0,0,1,0,0
132000,0,0,0,0,1
132100,0,1,4,0,7
134000,0,0,10,0,9
134201,0,1,8,0,1
134302,0,0,1,0,0
134303,0,1,0,0,1
134304,0,0,0,0,0
134305,2,2,3,0,4
134306,1,1,1,0,3
134510,0,1,5,0,3
134520,1,2,9,0,2
134902,0,0,0,0,0
135102,0,0,1,0,3
135111,0,1,0,0,3
135112,0,1,0,0,2
139400,0,0,1,0,6
139701,0,0,0,0,4
141200,0,0,0,0,1
