tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,0,0,0,1
101122,1,2,0,0,5.312
101210,1,4,2,0,22.415
101220,0,0,8,0,15.912
101300,0,0,1,0,3.409
101400,2,2,1,0,13.328
102103,0,0,0,0,0
102104,2,1,0,0,5.067
102105,0,1,6,0,14.787
102107,2,2,6,1,22.444
103101,1,0,2,0,5.585
103102,0,2,3,0,9.672
103200,2,0,2,2,24.893
103300,0,1,1,0,5.842
103400,1,0,3,0,19.674
104103,0,0,1,0,1.989
104105,1,0,0,1,3.198
104108,0,0,0,3,9.191
104124,0,0,1,0,10.989
104201,1,0,2,0,5.585
104203,6,3,0,0,15.201
104204,0,0,5,0,9.945
104310,1,4,9,0,83.774
104320,0,0,2,0,125.4
104401,0,2,3,0,13.672
104403,1,0,2,1,9.596
104404,0,0,3,1,8.558
104500,2,1,1,0,9.056
104610,0,1,3,0,7.82
104620,0,0,2,0,3.978
104701,0,1,4,0,9.809
104703,1,1,21,0,51.07
104704,0,0,7,1,37.514
104810,0,0,5,0,12.945
104821,0,0,0,0,6
104822,0,0,2,0,12.818
106010,0,2,2,0,7.683
106020,2,1,1,0,7.056
106111,0,1,2,0,5.831
106112,0,0,2,0,5.978
106113,1,2,2,0,9.29
106114,0,0,4,0,11.956
106403,1,3,0,0,8.165
106405,2,2,2,0,18.157
106406,3,0,7,0,19.745
106407,0,0,0,0,30
106408,0,0,0,0,3.42
106510,3,7,25,0,72.515
106520,9,1,18,5,60.073
106603,0,0,0,0,0
106604,5,1,12,0,43.276
106641,0,0,0,0,1.42
106642,1,0,2,0,5.585
106643,1,0,1,0,3.596
106645,0,0,0,0,0
106646,0,0,0,1,1.591
106648,1,0,4,0,9.563
106649,5,3,0,4,23.956
107010,0,1,0,0,3.272
107020,3,2,5,4,32.834
108101,0,0,0,0,1.42
108102,0,0,0,0,0
108103,0,0,2,0,3.978
108104,0,0,0,0,0
108201,1,0,2,0,6.585
108202,0,0,0,0,0
109100,9,0,5,6,62.954
109200,0,0,1,0,3.989
109300,2,0,2,0,7.193
109400,0,0,1,0,3.989
109500,2,5,12,0,45.345
109601,0,0,3,0,6.967
109603,0,0,3,0,9.967
109604,0,2,5,0,17.65
109700,0,1,0,0,4.692
109800,0,0,1,0,1.989
111100,0,0,1,0,4.989
111201,0,0,0,0,2.42
111202,0,0,0,0,10
111204,0,0,2,0,9.978
111205,0,1,2,0,5.831
111206,1,2,0,0,7.312
111301,10,3,3,0,34.437
111302,0,0,0,0,2
111400,2,0,0,2,20.655
113101,0,0,2,0,5.978
113102,5,0,0,10,43.72
113211,2,0,1,0,5.204
113212,0,0,0,0,1
113213,3,0,6,0,19.756
113231,0,0,0,0,0
113232,0,1,0,0,2.852
113233,1,0,2,0,6.585
113234,0,0,7,0,15.923
113235,0,0,0,0,0
113237,0,0,6,10,41.259
113301,1,0,0,0,2.607
113303,4,2,9,0,33.035
113321,1,0,1,0,4.596
113322,0,2,3,0,10.672
113401,0,0,2,0,12.238
113421,0,1,17,0,36.667
113422,2,0,4,3,23.362
115101,1,1,0,0,4.459
115103,0,0,1,0,1.989
115104,0,0,0,0,0
115201,0,1,1,0,6.842
115202,0,0,4,0,18.216
115301,0,0,1,0,3.989
115302,1,0,2,0,6.585
115401,0,0,0,0,0
115403,0,0,0,0,4.84
115404,1,0,1,0,9.276
117101,0,0,1,0,2.989
117102,0,0,2,0,3.978
117201,0,1,0,1,5.443
117202,1,0,0,1,5.198
117301,0,0,0,0,1
117302,0,0,0,0,0
117303,0,1,0,0,1.852
117404,1,1,0,7,35.112
117405,0,2,0,0,19.545
117407,0,0,1,8,19.133
117408,0,0,0,0,2
117510,0,0,0,0,27
117520,0,0,0,0,26.26
117530,0,0,0,5,22.632
119001,0,0,0,0,0
119002,3,0,7,0,18.745
119201,0,3,1,0,7.547
119202,0,2,6,2,27.08
119310,0,1,0,0,1.852
119320,0,0,0,3,6.191
119340,0,0,0,1,6.01
119341,0,0,0,0,1
119342,0,0,0,0,0
119400,0,0,3,0,5.967
119700,1,0,4,0,15.563
119800,1,0,1,0,3.596
119900,0,0,0,0,0
120010,0,0,1,0,3.409
120020,2,2,3,8,37.031
120030,0,0,0,3,11.611
120103,0,0,0,0,3
120104,0,0,0,1,5.01
120105,0,0,0,0,0
120106,0,0,0,0,0
120107,0,0,1,0,1.989
120108,0,1,0,0,9.532
120300,15,20,25,24,237.851
120400,2,0,1,2,20.904
121010,4,2,11,0,47.693
121020,4,1,0,0,11.281
121101,1,0,0,0,9.027
121102,5,2,16,0,55.665
121210,0,0,1,0,4.989
121221,0,0,0,0,1.42
121222,6,0,1,1,14.223
121600,5,8,0,0,26.856
121801,0,1,0,0,1.852
121802,9,4,5,3,286.269
121900,3,6,8,2,511.866
122000,5,0,18,7,64.233
122120,4,0,0,0,7.429
122121,2,6,2,1,22.899
122122,3,0,12,4,47.472
122200,1,4,38,2,94.462
122410,1,2,10,0,31.042
122420,0,0,5,0,10.945
123010,5,2,10,0,32.631
123020,2,4,9,0,32.365
123103,5,1,13,1,55.536
123104,0,2,5,0,14.65
123203,0,0,2,4,10.34
123204,3,0,0,0,4.822
123205,8,6,11,0,58.112
123206,4,5,13,1,76.078
123301,5,11,1,3,40.014
123303,1,0,2,3,30.296
123304,12,2,7,5,45.868
123410,0,3,0,0,11.977
123420,2,0,1,0,7.204
123510,0,0,0,0,1
123520,2,0,0,0,3.215
123601,0,1,2,0,5.83
123602,0,1,0,0,5.272
123700,1,0,1,0,9.596
123800,0,0,5,17,57.343
123901,0,1,3,2,20.001
123902,5,6,1,0,25.141
124000,0,0,0,0,5
124102,0,0,8,14,48.279
124103,0,0,0,0,0
124104,2,1,0,0,5.067
124105,3,0,0,2,10.423
124201,9,17,3,1,54.515
124203,0,0,0,0,2
124204,1,0,2,6,29.808
124300,0,0,3,0,5.967
124400,0,0,2,0,6.978
124500,0,0,0,0,2
124600,0,0,0,0,2
124700,0,0,2,0,8.978
124902,0,0,1,0,8.989
124903,0,0,0,0,1
125100,0,0,1,0,4.989
125200,1,3,6,7,49.012
125310,0,0,3,6,24.19
125320,2,2,3,2,29.167
125401,1,0,1,0,8.596
125402,0,0,4,18,49.425
125501,0,0,0,0,1
125502,2,0,0,1,8.805
125600,0,2,0,0,3.704
127102,0,0,0,4,34.782
127103,0,0,0,0,0
127104,0,0,0,6,10.543
127210,4,2,9,2,44.316
127220,3,0,0,5,31.713
127300,5,1,3,1,28.546
127400,1,2,6,1,29.096
127520,2,4,1,0,17.873
127603,0,0,0,0,0
127604,0,1,0,0,2.852
127605,1,0,0,0,1.607
127606,0,0,0,3,9.611
127711,1,2,1,0,9.721
127712,0,0,0,12,25.086
127803,0,0,0,0,8
127804,1,0,0,0,5.607
127805,0,0,0,10,35.905
127806,0,0,0,2,13.021
127910,2,2,0,2,24.101
127920,2,0,1,3,11.975
128101,0,0,1,0,4.989
128102,0,0,1,4,21.771
128210,8,0,0,0,54.576
128220,0,0,0,0,2
128302,1,0,0,0,3.607
128303,1,2,1,5,31.514
128400,4,2,8,31,90.612
128500,2,1,2,0,10.045
128601,0,0,1,0,4.409
128602,0,0,3,0,7.967
128702,0,0,2,0,8.398
128801,0,0,6,0,14.934
128802,1,0,0,1,6.618
128910,1,0,2,0,8.585
131010,3,2,5,1,36.421
131020,2,3,6,0,31.126
131100,0,0,0,0,0
131200,0,0,1,0,1.989
131300,0,0,4,1,13.547
131400,3,2,4,0,19.483
131600,0,0,1,0,1.989
131701,0,0,1,0,2.989
131702,0,2,0,0,3.705
131800,0,4,7,0,27.173
131900,2,0,6,0,15.149
132001,0,0,0,0,0
132002,0,0,0,0,3
132101,0,0,1,0,1.989
132102,0,0,2,0,7.398
132300,2,1,10,4,40.159
132501,2,1,1,0,9.056
132502,0,0,0,0,22
132700,0,0,4,0,12.376
132900,1,0,4,0,9.563
133000,2,4,4,0,21.42
133100,1,0,8,0,20.52
134001,2,1,2,1,13.636
134002,0,0,1,0,1.989
134101,0,0,1,0,1.989
134103,0,1,0,1,3.443
134104,0,1,1,0,4.842
134201,1,1,1,0,9.869
134302,0,0,0,0,1.42
134303,0,1,3,0,13.24
134304,0,0,0,0,0
134305,0,0,1,0,2.989
134306,0,0,5,0,14.365
134421,1,1,3,0,10.427
134422,0,3,7,0,19.481
134423,0,0,0,0,0
134424,0,0,0,0,1
134520,2,0,14,0,66.741
134521,1,1,1,0,13.449
134522,0,0,0,0,3
134710,0,0,1,0,2.989
134720,0,0,3,0,7.387
134800,0,0,7,1,15.514
134901,0,1,6,0,19.786
134903,0,1,1,1,9.852
134904,0,1,0,0,1.852
134905,2,0,0,0,8.634
135102,0,2,2,0,9.103
135111,0,0,1,0,2.989
135113,0,0,1,0,2.989
135114,0,0,0,0,1
135201,2,3,3,0,17.739
135202,0,0,0,0,1
135203,0,0,0,0,0
137000,0,0,1,0,1.989
137103,0,4,0,2,13.011
137104,0,0,0,0,6.84
137201,0,1,7,0,17.196
137301,0,0,2,0,3.978
137302,0,0,1,0,1.989
137401,0,0,0,0,0
137402,0,0,0,0,0
137501,1,0,0,2,15.048
137502,1,0,2,0,5.585
137504,0,0,0,0,0
138000,0,0,0,0,0
139001,0,0,0,2,3.181
139200,0,0,0,0,2.84
139301,0,0,4,2,13.137
139302,0,0,1,0,2.989
139303,0,0,1,1,6.999
139401,1,1,0,0,14.559
139402,0,1,2,3,18.022
139502,2,0,1,0,6.623
139503,0,0,0,0,0
