year,zip_code,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races
2012,90068,2488.0,1366.0,1122.0,153.0,2060.0,275.0,1761.0,52.0,353.0,675.0
2012,90069,2210.0,1037.0,1173.0,123.0,1682.0,405.0,1844.0,59.0,302.0,307.0
2012,90071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,90073,328.0,282.0,46.0,0.0,323.0,5.0,114.0,158.0,68.0,56.0
2012,90077,212.0,48.0,164.0,73.0,95.0,44.0,189.0,13.0,5.0,10.0
2012,90079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,90089,72.0,48.0,24.0,0.0,72.0,0.0,28.0,0.0,16.0,44.0
2012,90090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,90094,383.0,132.0,251.0,0.0,335.0,48.0,135.0,29.0,57.0,219.0
2012,90095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,90210,1464.0,603.0,861.0,246.0,895.0,323.0,1282.0,38.0,136.0,144.0
2012,90211,708.0,306.0,402.0,113.0,463.0,132.0,665.0,27.0,5.0,16.0
2012,90212,890.0,317.0,573.0,111.0,631.0,148.0,727.0,78.0,28.0,85.0
2012,90230,3707.0,1632.0,2075.0,1213.0,2149.0,345.0,1483.0,370.0,2152.0,1854.0
2012,90232,1011.0,463.0,548.0,109.0,719.0,183.0,662.0,96.0,389.0,253.0
2012,90245,694.0,311.0,383.0,153.0,478.0,63.0,495.0,46.0,169.0,153.0
2012,90247,9055.0,4126.0,4929.0,3693.0,4421.0,941.0,1118.0,1492.0,6082.0,6445.0
2012,90248,991.0,557.0,434.0,250.0,621.0,120.0,412.0,65.0,779.0,514.0
2012,90250,16865.0,7145.0,9720.0,6359.0,9512.0,994.0,8018.0,4752.0,9930.0,4095.0
2012,90262,15624.0,6971.0,8653.0,7166.0,7985.0,473.0,3471.0,879.0,14370.0,11274.0
2012,90265,1376.0,665.0,711.0,269.0,1006.0,101.0,1065.0,24.0,191.0,287.0
2012,90272,1017.0,410.0,607.0,249.0,631.0,137.0,901.0,9.0,138.0,107.0
2012,90275,1655.0,705.0,950.0,507.0,805.0,343.0,764.0,193.0,62.0,698.0
2012,90280,19492.0,8500.0,10992.0,8029.0,10154.0,1309.0,8019.0,134.0,19026.0,11339.0
2012,90290,427.0,283.0,144.0,76.0,351.0,0.0,337.0,0.0,87.0,90.0
2012,90291,3293.0,1766.0,1527.0,742.0,2280.0,271.0,2181.0,545.0,1192.0,567.0
2012,90292,2192.0,818.0,1374.0,442.0,1445.0,305.0,1585.0,272.0,213.0,335.0
2012,90293,823.0,366.0,457.0,64.0,733.0,26.0,499.0,153.0,63.0,171.0
2012,90301,8056.0,3863.0,4193.0,3088.0,4513.0,455.0,3145.0,2039.0,5299.0,2872.0
2012,90302,5256.0,2443.0,2813.0,1776.0,3171.0,309.0,1584.0,2044.0,2980.0,1628.0
2012,90304,7995.0,4140.0,3855.0,3318.0,4420.0,257.0,2495.0,484.0,7180.0,5016.0
2012,90305,1382.0,488.0,894.0,458.0,772.0,152.0,70.0,1192.0,160.0,120.0
2012,90402,477.0,249.0,228.0,48.0,338.0,91.0,352.0,22.0,32.0,103.0
2012,90403,1983.0,840.0,1143.0,92.0,1406.0,485.0,1635.0,20.0,142.0,328.0
2012,90404,3266.0,1705.0,1561.0,492.0,2331.0,443.0,2001.0,313.0,1108.0,952.0
2012,90405,3481.0,1625.0,1856.0,352.0,2646.0,483.0,2329.0,196.0,458.0,956.0
2012,90501,6630.0,2821.0,3809.0,2775.0,3596.0,259.0,2425.0,435.0,4494.0,3770.0
2012,90502,1602.0,804.0,798.0,448.0,1013.0,141.0,714.0,47.0,818.0,841.0
2012,90504,1922.0,844.0,1078.0,396.0,1106.0,420.0,820.0,110.0,370.0,992.0
2012,90710,3466.0,1567.0,1899.0,1346.0,1852.0,268.0,2487.0,197.0,2505.0,782.0
2012,90717,2485.0,925.0,1560.0,549.0,1495.0,441.0,1160.0,169.0,1073.0,1156.0
2012,90731,11184.0,4740.0,6444.0,4437.0,6092.0,655.0,7421.0,1344.0,7156.0,2419.0
2012,90732,1417.0,586.0,831.0,322.0,732.0,363.0,1063.0,32.0,596.0,322.0
2012,90744,14925.0,7139.0,7786.0,6671.0,7615.0,639.0,12047.0,298.0,13873.0,2580.0
2012,90745,4983.0,2347.0,2636.0,1346.0,2942.0,695.0,2606.0,362.0,2413.0,2015.0
2012,90802,9426.0,4461.0,4965.0,2577.0,6298.0,551.0,4744.0,2185.0,4362.0,2497.0
2012,90810,7166.0,3183.0,3983.0,3049.0,3600.0,517.0,3869.0,1013.0,4498.0,2284.0
2012,90813,21168.0,9750.0,11418.0,8907.0,11314.0,947.0,11777.0,2761.0,14284.0,6630.0
2012,91011,427.0,177.0,250.0,116.0,261.0,50.0,257.0,3.0,5.0,167.0
2012,91030,1939.0,835.0,1104.0,339.0,1348.0,252.0,981.0,48.0,620.0,910.0
2012,91040,1752.0,743.0,1009.0,241.0,1307.0,204.0,1398.0,35.0,423.0,319.0
2012,91042,4629.0,2046.0,2583.0,1242.0,2979.0,408.0,2645.0,239.0,1851.0,1745.0
2012,91105,710.0,394.0,316.0,38.0,560.0,112.0,461.0,44.0,126.0,205.0
2012,91201,3393.0,1652.0,1741.0,988.0,2015.0,390.0,2841.0,11.0,482.0,541.0
2012,91204,2796.0,1300.0,1496.0,766.0,1667.0,363.0,2359.0,29.0,863.0,408.0
2012,91205,8252.0,4048.0,4204.0,2133.0,4506.0,1613.0,7085.0,62.0,2058.0,1105.0
2012,91206,3638.0,1522.0,2116.0,671.0,2227.0,740.0,2968.0,49.0,600.0,621.0
2012,91214,1798.0,876.0,922.0,365.0,1061.0,372.0,1084.0,1.0,146.0,713.0
2012,91302,1508.0,600.0,908.0,512.0,825.0,171.0,1210.0,61.0,75.0,237.0
2012,91303,4696.0,2285.0,2411.0,1791.0,2579.0,326.0,2528.0,71.0,3608.0,2097.0
2012,91304,9125.0,4428.0,4697.0,3623.0,4797.0,705.0,2724.0,368.0,6586.0,6033.0
2012,91306,7164.0,3145.0,4019.0,2559.0,4178.0,427.0,2370.0,317.0,4598.0,4477.0
2012,91307,1337.0,585.0,752.0,159.0,923.0,255.0,1230.0,36.0,175.0,71.0
2012,91311,2485.0,1200.0,1285.0,545.0,1554.0,386.0,1364.0,130.0,754.0,991.0
2012,91316,2855.0,1235.0,1620.0,572.0,1585.0,698.0,2221.0,145.0,607.0,489.0
2012,91321,5906.0,3115.0,2791.0,2217.0,3222.0,467.0,4548.0,30.0,4387.0,1328.0
2012,91324,4124.0,1945.0,2179.0,1031.0,2733.0,360.0,2177.0,194.0,2370.0,1753.0
2012,91325,5135.0,2220.0,2915.0,908.0,3857.0,370.0,2910.0,287.0,2045.0,1938.0
2012,91326,2331.0,1090.0,1241.0,407.0,1700.0,224.0,1198.0,290.0,490.0,843.0
2012,91330,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0
2012,91331,19502.0,9194.0,10308.0,7758.0,10680.0,1064.0,11432.0,678.0,17710.0,7392.0
2012,91335,10807.0,4578.0,6229.0,3208.0,6295.0,1304.0,7020.0,374.0,5422.0,3413.0
2012,91340,6488.0,2930.0,3558.0,2818.0,3318.0,352.0,4171.0,7.0,6183.0,2310.0
2012,91342,13578.0,6393.0,7185.0,5527.0,7042.0,1009.0,7554.0,1025.0,10997.0,4999.0
2012,91343,12641.0,5918.0,6723.0,5354.0,6620.0,667.0,6217.0,414.0,10896.0,6010.0
2012,91344,4766.0,2030.0,2736.0,1260.0,2867.0,639.0,3449.0,97.0,1818.0,1220.0
2012,91345,1563.0,767.0,796.0,408.0,910.0,245.0,845.0,6.0,1331.0,712.0
2012,91352,8624.0,3819.0,4805.0,3520.0,4634.0,470.0,6249.0,305.0,7151.0,2070.0
2012,91356,4271.0,1792.0,2479.0,1074.0,2603.0,594.0,2940.0,265.0,1092.0,1066.0
2012,91364,1815.0,880.0,935.0,386.0,961.0,468.0,1414.0,88.0,181.0,313.0
2012,91367,3189.0,1004.0,2185.0,468.0,2049.0,672.0,2271.0,445.0,313.0,473.0
2012,91371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,91401,8226.0,3974.0,4252.0,2412.0,5333.0,481.0,4239.0,709.0,5082.0,3278.0
2012,91402,19847.0,9407.0,10440.0,8320.0,10657.0,870.0,7813.0,811.0,16272.0,11223.0
2012,91403,2016.0,796.0,1220.0,310.0,1401.0,305.0,1588.0,182.0,224.0,246.0
2012,91405,14523.0,6715.0,7808.0,5651.0,7964.0,908.0,5665.0,680.0,10728.0,8178.0
2012,91406,9823.0,4439.0,5384.0,3410.0,5631.0,782.0,4456.0,501.0,6291.0,4866.0
2012,91411,4253.0,2112.0,2141.0,1119.0,2908.0,226.0,3097.0,111.0,2986.0,1045.0
2012,91423,2766.0,1266.0,1500.0,808.0,1768.0,190.0,2019.0,228.0,487.0,519.0
2012,91436,736.0,342.0,394.0,93.0,434.0,209.0,578.0,97.0,163.0,61.0
2012,91501,2340.0,972.0,1368.0,474.0,1596.0,270.0,1813.0,34.0,563.0,493.0
2012,91504,1767.0,946.0,821.0,422.0,1230.0,115.0,1369.0,63.0,380.0,335.0
2012,91505,2265.0,1015.0,1250.0,322.0,1656.0,287.0,1897.0,28.0,821.0,340.0
2012,91506,1082.0,551.0,531.0,170.0,762.0,150.0,861.0,12.0,426.0,209.0
2012,91601,6463.0,3197.0,3266.0,1605.0,4464.0,394.0,4425.0,660.0,3174.0,1378.0
2012,91602,1561.0,873.0,688.0,186.0,1194.0,181.0,1125.0,118.0,460.0,318.0
2012,91604,2081.0,1157.0,924.0,192.0,1772.0,117.0,1534.0,162.0,261.0,385.0
2012,91605,11027.0,5250.0,5777.0,3847.0,6368.0,812.0,6387.0,553.0,7737.0,4087.0
2012,91606,9168.0,4491.0,4677.0,2887.0,5551.0,730.0,5226.0,348.0,6262.0,3594.0
2012,91607,3484.0,1500.0,1984.0,624.0,2639.0,221.0,2283.0,320.0,842.0,881.0
2012,91608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,91754,4779.0,2209.0,2570.0,1264.0,2796.0,719.0,632.0,1.0,1727.0,4146.0
2012,91801,7448.0,3519.0,3929.0,1427.0,4953.0,1068.0,1498.0,47.0,1835.0,5903.0
2012,91803,3617.0,1599.0,2018.0,879.0,2410.0,328.0,401.0,51.0,793.0,3165.0
2013,90001,17496.0,7700.0,9796.0,7803.0,8984.0,709.0,10023.0,1444.0,15895.0,6029.0
2013,90002,17116.0,7753.0,9363.0,7958.0,8314.0,844.0,8262.0,5242.0,11384.0,3612.0
2013,90003,25832.0,11625.0,14207.0,11900.0,12990.0,942.0,5648.0,7478.0,17948.0,12706.0
