year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2011,90067,94107.0,63687.5,75373.75,66375.0,60701.0,128479.5,99877.0,,,82602.5
2011,90068,72821.0,72884.0,55657.75,73484.5,77546.0,68695.0,77659.5,68633.0,62853.0,64272.75
2011,90069,74262.0,74665.0,65561.75,98487.0,89111.0,56185.0,79959.5,37813.0,66655.0,45815.75
2011,90071,,,,,,,,,,
2011,90073,,,,,,,,,,
2011,90077,184338.0,160492.0,98575.25,229250.0,178239.0,189692.0,181420.5,129181.0,,221000.0
2011,90079,,,,,,,,,,
2011,90089,9219.0,,13333.0,13333.0,,8750.0,,,,
2011,90090,,,,,,,,,,
2011,90094,86579.0,99492.0,54744.0,79172.0,118417.0,59666.5,82899.0,65387.0,118000.0,99544.0
2011,90095,,,,,,,,,,
2011,90210,129539.0,114706.5,64375.5,99420.5,129602.0,140678.5,135301.0,55550.0,36750.0,84280.66666666667
2011,90211,74212.0,91797.0,77045.25,61455.0,84730.0,68328.5,72534.0,100375.0,100250.0,74742.0
2011,90212,78575.0,77419.5,77253.0,70539.0,82556.0,71548.5,80452.0,75292.0,54345.0,85205.66666666667
2011,90230,68870.0,69161.0,53807.75,62266.0,84258.0,57338.0,78538.5,52456.0,47455.0,68800.25
2011,90232,70341.0,62744.75,53094.25,79612.0,73657.0,65637.0,82217.0,67414.0,39412.0,55191.333333333336
2011,90245,88486.0,87326.25,63179.0,73413.5,96420.0,69564.0,92809.5,52870.0,80030.0,63444.2
2011,90247,41560.0,38119.75,30916.25,36460.0,39044.0,38831.5,45436.0,39467.0,36255.0,53615.4
2011,90248,58692.0,35369.75,72462.5,63636.0,56793.0,56473.0,55926.0,58833.0,42115.0,53906.666666666664
2011,90250,47411.0,45303.25,40781.5,37937.0,47051.0,46083.5,58283.0,42993.0,45612.0,66698.8
2011,90262,43889.0,30348.75,22623.5,36248.5,40896.0,41722.5,37784.0,45481.0,44313.0,42845.0
2011,90265,127059.0,132998.25,57264.75,77623.5,134573.0,123464.0,126654.5,121518.0,111298.0,134305.66666666666
2011,90272,158381.0,108404.66666666667,79871.5,73100.0,199519.0,149618.5,159327.0,,115000.0,153035.5
2011,90275,116708.0,104430.25,61081.25,148750.0,131379.0,113923.5,114598.0,75486.0,136941.0,135928.5
